id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
447548023,Beverly Hills,,,El Salvador,13.6643453,-89.2540744
462755981,Hotel Trópico Inn,,,El Salvador,13.47693,-88.184047
465733550,Posada de Don Oli,,,El Salvador,13.8686713,-89.852339
469067155,Las Veraneras,,,El Salvador,13.5276324,-89.8089112
469067668,Roca Sunzal Surf Resort,https://rocasunzal.com/,,El Salvador,13.4934733,-89.3849535
469069699,Hotel Astoria,,,El Salvador,13.9213409,-89.8479282
472086762,Hotel American,,,El Salvador,13.7004471,-89.200069
503714364,Villa La Lupe,,,El Salvador,20.1898643,-75.2306067
630729249,Pasada Luna,,,El Salvador,13.4954854,-89.3839395
864126790,Hostal Casa Verde,,,El Salvador,13.9922613,-89.5612612
906059297,El Parador,,,El Salvador,13.9385408,-89.8551674
1366010897,Hotel Kankan,,,El Salvador,13.9214937,-89.8453282
1543149326,,,,El Salvador,13.6734687,-89.2998266
1546620055,Olas Permanentes,https://olaspermanentes.surf/restaurantes/el-zonte/,Playa El Zonte,El Salvador,13.4953881,-89.4413685
1546620074,Paraiso Azul Resort,,,El Salvador,13.4941881,-89.3893347
1546620082,Hotel El Zonte,,,El Salvador,13.4955454,-89.4354366
1546620106,Punta Gara,,,El Salvador,13.4953263,-89.4361769
1546620115,Villa Bendición,,,El Salvador,13.4958213,-89.4362696
1546620119,Canegue Hostal,,,El Salvador,13.4954823,-89.4386343
1546620126,Esencia Nativa,https://esencianativa.com/,,El Salvador,13.4951641,-89.4394311
1546675633,Qi-x la Fabrica (surfshop/hotel),,,El Salvador,13.4942766,-89.3796586
1546675647,Tortuga Surf Lodge,,,El Salvador,13.4930946,-89.3833419
1546675648,Hotel Pupa,,,El Salvador,13.4934097,-89.3813138
1546675660,The Carp House,,,El Salvador,13.4950478,-89.3843665
1546675661,La Sombra Hostel,,El Tunco,El Salvador,13.4938659,-89.3829681
1546675664,Casa Miramar,,,El Salvador,13.492857,-89.3829502
1546675667,Hotel Mopelia,,,El Salvador,13.4936759,-89.3833687
1546675668,Casa Makoi,,El Tunco,El Salvador,13.4935418,-89.3830974
1546675691,Tekuani Kal,,,El Salvador,13.4931919,-89.3830811
1546675695,Papaya's Lodge,,,El Salvador,13.4944715,-89.3842886
1546683895,Hotel La Guitarra,,,El Salvador,13.493942,-89.3846024
1546732058,Hotel Barlovento,,,El Salvador,13.4940513,-89.3789428
1549806601,Emerald Hotel,,,El Salvador,13.6973058,-89.2134824
1549806603,Hotel Nueva Villa Santander,,,El Salvador,13.6975824,-89.2140878
1549806649,Hostal Portada,,,El Salvador,13.6981323,-89.2140153
1549940459,Restaurante y Hotel El Malecón,,,El Salvador,13.4874138,-89.3174592
1549940485,Hotel Renacer,,,El Salvador,13.4863731,-89.3224962
1549944985,Hotel el Faro,,,El Salvador,13.4866526,-89.3136257
1551128532,Hostal en apaneca,,,El Salvador,13.8568813,-89.8039516
1551150125,Igloo hostal at Laguna Verde Guest House,,,El Salvador,13.8850669,-89.7901275
