id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10
7392924320,Hotel 10,,San Pedro de las Colonias,México,25.7601221,-102.9823655,,,,,,,,,
7392931285,Fiesta Inn,,,México,16.7460205,-93.0752132,,,,,,,,,
7442839959,Hotel brisas del sol,,,México,15.8343506,-97.0423863,,,,,,,,,
7472092348,Hotel Dubai,,Monterrey,México,25.6837005,-100.3202807,,,,,,,,,
7472092350,Hotel Plaza Arteaga,,Monterrey,México,25.6838343,-100.3214153,,,,,,,,,
7482059587,Hotel SF Express,,Monterrey,México,25.6808581,-100.316111,,,,,,,,,
7499403080,Hotel Moncho,,,México,17.8045866,-91.5364887,,,,,,,,,
7499496785,Hotel Las Delicias,,,México,17.8107515,-91.5324992,,,,,,,,,
7499496786,Hotel Balam Ku,,,México,17.8030301,-91.5358597,,,,,,,,,
7499496787,Hotel Usumacinta,,,México,17.8011761,-91.5338775,,,,,,,,,
7499496788,Hotel Dehesa Las Chelitas,,,México,17.7989441,-91.5348961,,,,,,,,,
7538940385,Hotel del paseo,,,México,25.53748,-103.4404079,,,,,,,,,
7545908994,Hacienda del Carmen Hotel & Spa,,"El Carmen, Ahualulco de Mercado",México,20.6565009,-103.9119263,,,,,,,,,
7554780885,Real Hacienda Copalillos,,,México,22.9057058,-101.1198576,,,,,,,,,
7569607312,Sierra Huasteca,,,México,21.2737432,-98.7744583,,,,,,,,,
7609474464,Hotel Quilas,,,México,21.4661642,-98.9664008,,,,,,,,,
7633768668,Taninul Hotel & Spa,,,México,21.9368896,-98.8893528,,,,,,,,,
7644635885,Hôtel La Josefina,,,México,20.6253669,-87.0761828,,,,,,,,,
7706056265,Hotel Quinta Teresita,,,México,20.4910882,-97.0222079,,,,,,,,,
7711666714,Hotel Fuente del Bosque,,,México,20.6664218,-103.3835658,,,,,,,,,
7726497185,BoHo/Tribe on the Beach Hostel,,,México,20.6208698,-87.0756605,,,,,,,,,
7727437367,Puerta Del Cielo,,,México,20.5993548,-100.3949376,,,,,,,,,
7729395785,Azteca,,,México,21.1756732,-86.8234071,,,,,,,,,
7748135478,Koanze Luxury Hotel & Spa,,,México,20.1401479,-103.7183944,,,,,,,,,
7752490836,Hotel y Cabañas El Nogalito,,,México,26.9969933,-102.0715705,,,,,,,,,
7759226334,Hotel Isabel,,Guadalajara,México,20.6692808,-103.36038,,,,,,,,,
7805248825,Zar Hotel,,,México,22.0462059,-100.8569284,,,,,,,,,
7814221624,Hotel Diana,,,México,23.0617202,-109.6966431,,,,,,,,,
7815327380,Andaz Mayakoba,,,México,20.6947234,-87.028528,,,,,,,,,
7815346729,Rosewood Mayakoba,,,México,20.6936192,-87.0264003,,,,,,,,,
7815513038,Fairmont Mayakoba,,,México,20.6867674,-87.0284039,,,,,,,,,
7817830514,"Zadún, a Ritz-Carlton Reserve",,,México,23.0685625,-109.647723,,,,,,,,,
7817852335,"Hotel ""Maria Bonita""",,,México,23.4495833,-110.2231099,,,,,,,,,
7818269608,W Punta de Mita,,,México,20.7480589,-105.4317027,,,,,,,,,
7824517362,Hotel Principal,,,México,18.4454975,-96.3598047,,,,,,,,,
7856404306,Hotel Madrid,,,México,22.12579,-100.9792866,,,,,,,,,
7856404307,Hotel Casa Blanca,,,México,22.1248037,-100.9796229,,,,,,,,,
7858403757,Plaza Las Torres,,,México,22.1059919,-100.9580062,,,,,,,,,
7875967891,Oskar Rodriguez,,,México,19.1833739,-96.1949536,,,,,,,,,
7879064079,hostal el costeñito,,,México,19.1791954,-96.1567363,,,,,,,,,
7879692375,Ruma San Luis,,,México,22.146499,-100.9755533,,,,,,,,,
7882283357,Hotel Colonial,,,México,22.130981,-100.9629539,,,,,,,,,
7882463345,Hotel Antares,,,México,22.1311686,-100.9656196,,,,,,,,,
7882490095,Oyo Hotel JI Candy,,,México,22.128861,-100.9742172,,,,,,,,,
7887980858,HOTEL SAN VICENTE,,,México,19.1914697,-96.1357219,,,,,,,,,
7887980859,HOTEL ABASOLO,,,México,19.1913852,-96.1362911,,,,,,,,,
7888130751,,,,México,19.1980626,-96.1309702,,,,,,,,,
7888213411,Hotel Capri,,,México,19.1951706,-96.1290704,,,,,,,,,
7888265968,Suites jaasiel,,,México,19.1903403,-96.1248463,,,,,,,,,
7888265969,reserva directo hoteles veracruz,,,México,19.1905236,-96.1246737,,,,,,,,,
7890702203,Boulevard del Mar,,,México,19.1550599,-96.097974,,,,,,,,,
7891361131,HOTEL CENTRAL,,,México,19.0858405,-98.1895875,,,,,,,,,
7891361139,HOTEL SNAYLF,,,México,19.0864974,-98.1876767,,,,,,,,,
7895165622,HOTEL ORQUIDE,,,México,19.0722194,-98.1451065,,,,,,,,,
7897411482,Central,,,México,17.9832996,-94.5433589,,,,,,,,,
7899136825,Hotel Turquesa,,,México,22.126455,-100.9320774,,,,,,,,,
7899786801,Real de Alcázar,,,México,22.6174672,-100.3989916,,,,,,,,,
7905720887,Oyo hotel del paseo,,,México,19.0462875,-98.2058827,,,,,,,,,
7906550212,Hotel Castellanos,,,México,19.0336482,-98.2091405,,,,,,,,,
7921398186,La Mansión,,,México,21.622532,-99.0173061,,,,,,,,,
7922395238,Fiesta inn Oriente,,,México,22.1267183,-100.9219377,,,,,,,,,
7947078677,Hotel Macho´s Mahahual,,Mahhual,México,18.7119167,-87.7111489,,,,,,,,,
7972261485,Hotel Besoir,,,México,17.1061127,-92.2755893,,,,,,,,,
7972261486,Hotel Chilum,,,México,17.1060904,-92.2702573,,,,,,,,,
7972261487,Chilum Banak Chawuk,,,México,17.1018545,-92.2632864,,,,,,,,,
7972407269,Martín Guirao-Renta Casa Habitación.,,,México,17.1033373,-92.2745671,,,,,,,,,
7972407278,Piramide del Sol,,,México,17.1081272,-92.2759881,,,,,,,,,
8064304085,,,,México,24.0277584,-104.671891,,,,,,,,,
8082637167,Araiza,,San Luis Rio Colorado,México,32.4760688,-114.7597534,,,,,,,,,
8172745392,Hotel Lazo,,,México,17.0309491,-97.5712582,,,,,,,,,
8174326349,Hotel Cavernas Risochi,,,México,27.4423124,-106.687098,,,,,,,,,
8185067934,Flavia Luxury Hotel,,"Oaxaca de Juárez,",México,17.1124802,-96.7080037,,,,,,,,,
8196766613,Eco Hotel Los Cedros de Uayamón,,Uayamon,México,19.6587032,-90.421584,,,,,,,,,
8197846099,Hotel Hotsson Silao,,,México,20.9554517,-101.4188884,,,,,,,,,
8215221139,Auto Hotel Sol y Luna,,Ixmiquilpan,México,20.4891175,-99.2002915,,,,,,,,,
8221497884,,,,México,19.9429157,-97.2886435,,,,,,,,,
8238493419,Hostal Rosa Mexicano,,Mérida,México,20.986053,-89.6115271,,,,,,,,,
